5.9,3,1
6.9,3.1,1
6.6,2.9,1
4.6,3.2,-1
6,2.2,1
4.7,3.2,-1
6.5,3,1
5.8,2.7,1
6.7,3.1,1
6.7,2.5,1
5.1,3.7,-1
5.1,3.8,-1
5.7,3,1
6.1,3,1
4.9,3.1,-1
5,3.4,-1
5,3.4,-1
5.7,2.8,1
5,3.3,-1
7.2,3.2,1
5.9,3,1
6.5,3,1
5.7,4.4,-1
5.5,2.5,1
4.9,2.5,1
5,3.5,-1
5.5,2.3,1
4.6,3.1,-1
7.2,3,1
6.8,3.2,1
5.4,3.9,-1
5,3.2,-1
5.7,2.5,1
5.8,2.6,1
5.1,2.5,1
5.6,2.5,1
5.8,2.7,1
5.1,3.8,-1
6.3,2.3,1
6.3,2.5,1
5.6,3,1
6.1,3,1
6.8,3,1
7.3,2.9,1
5.6,2.7,1
4.8,3,-1
7.1,3,1
5.7,2.6,1
5.3,3.7,-1
5.7,3.8,-1
5.7,2.9,1
5.6,2.8,1
4.4,3,-1
6.3,3.3,1
5.4,3.4,-1
6.3,3.4,1
6.9,3.1,1
7.7,3,1
6.1,2.8,1
5.6,2.9,1
6.1,2.6,1
6.4,2.7,1
5,3.5,-1
5.1,3.3,-1
5.6,3,1
5.4,3,1
5.8,2.8,1
4.9,3.1,-1
4.6,3.6,-1
5.2,3.4,-1
7.9,3.8,1
7.7,2.6,1
6.1,2.8,1
5.5,3.5,-1
4.6,3.4,-1
4.7,3.2,-1
4.4,2.9,-1
6.2,2.8,1
4.8,3,-1
6,2.9,1
6.2,3.4,1
5,2.3,1
6.4,3.2,1
6.3,2.9,1
6.7,3,1
5,2,1
5.9,3.2,1
6.7,3.3,1
5.4,3.9,-1
6.3,2.7,1
4.8,3.4,-1
4.4,3.2,-1
6.4,3.2,1
6.2,2.2,1
6,2.2,1
7.4,2.8,1
4.9,2.4,1
7,3.2,1
5.5,2.4,1
6.3,3.3,1
6.8,2.8,1
6.1,2.9,1
6.5,3.2,1
6.7,3.3,1
6.7,3.1,1
4.8,3.4,-1
4.9,3,-1
6.9,3.2,1
4.5,2.3,-1
4.3,3,-1
5.2,2.7,1
5,3.6,-1
6.4,2.9,1
5.2,3.5,-1
5.8,2.7,1
5.5,4.2,-1
7.6,3,1
6.3,2.8,1
6.4,3.1,1
6.3,2.5,1
5.8,2.7,1
5,3,-1
6.7,3.1,1
6,2.7,1
5.1,3.5,-1
4.8,3.1,-1
5.7,2.8,1
5.1,3.8,-1
6.6,3,1
6.4,2.8,1
5.2,4.1,-1
6.4,2.8,1
7.7,2.8,1
5.8,4,-1
4.9,3.1,-1
5.4,3.7,-1
5.1,3.5,-1
6,3.4,1
6.5,3,1
5.5,2.4,1
7.2,3.6,1
6.9,3.1,1
6.2,2.9,1
6.5,2.8,1
6,3,1
5.4,3.4,-1
5.5,2.6,1
6.7,3,1
7.7,3.8,1
5.1,3.4,-1
